os,version,position_url,position,download_position,download_prefix,download_url,driver_download_url
win,115.0.5790.110,https://omahaproxy.appspot.com/deps.json?version=115.0.5790.110,1583,1625,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1625/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1625%2Fchrome-win32.zip?generation=2&alt=media,Error: Cannot find the chrome driver in prefix, please check the download_prefix manually
win,115.0.5790.99,https://omahaproxy.appspot.com/deps.json?version=115.0.5790.99,1583,1625,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1625/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1625%2Fchrome-win32.zip?generation=2&alt=media,Error: Cannot find the chrome driver in prefix, please check the download_prefix manually
win,115.0.5790.102,https://omahaproxy.appspot.com/deps.json?version=115.0.5790.102,1583,1625,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1625/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1625%2Fchrome-win32.zip?generation=2&alt=media,Error: Cannot find the chrome driver in prefix, please check the download_prefix manually
win,114.0.5735.134,https://omahaproxy.appspot.com/deps.json?version=114.0.5735.134,1135570,1135568,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1135568/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1135568%2Fchrome-win.zip?generation=1682465970488945&alt=media,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1135568%2Fchromedriver_win32.zip?generation=1682466175410384&alt=media
win,114.0.5735.110,https://omahaproxy.appspot.com/deps.json?version=114.0.5735.110,1052,1052,"Error: For win, failed to find working position in: [952, 1152]","Error: For win, failed to find working position in: [952, 1152]","Error: For win, failed to find working position in: [952, 1152]"
win,114.0.5735.91,https://omahaproxy.appspot.com/deps.json?version=114.0.5735.91,1135570,1135568,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1135568/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1135568%2Fchrome-win.zip?generation=1682465970488945&alt=media,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1135568%2Fchromedriver_win32.zip?generation=1682466175410384&alt=media
win,114.0.5735.199,https://omahaproxy.appspot.com/deps.json?version=114.0.5735.199,1135570,1135568,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1135568/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1135568%2Fchrome-win.zip?generation=1682465970488945&alt=media,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1135568%2Fchromedriver_win32.zip?generation=1682466175410384&alt=media
win,113.0.5672.93,https://omahaproxy.appspot.com/deps.json?version=113.0.5672.93,912,912,"Error: For win, failed to find working position in: [812, 1012]","Error: For win, failed to find working position in: [812, 1012]","Error: For win, failed to find working position in: [812, 1012]"
win,113.0.5672.64,https://omahaproxy.appspot.com/deps.json?version=113.0.5672.64,1121455,1121435,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1121435/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1121435%2Fchrome-win.zip?generation=1679618443916849&alt=media,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1121435%2Fchromedriver_win32.zip?generation=1679618654487319&alt=media
win,113.0.5672.127,https://omahaproxy.appspot.com/deps.json?version=113.0.5672.127,1121455,1121435,"https://www.googleapis.com/storage/v1/b/chromium-browser-snapshots/o?delimiter=/&prefix=Win/1121435/&fields=items(kind,mediaLink,metadata,name,size,updated),kind,prefixes,nextPageToken",https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1121435%2Fchrome-win.zip?generation=1679618443916849&alt=media,https://www.googleapis.com/download/storage/v1/b/chromium-browser-snapshots/o/Win%2F1121435%2Fchromedriver_win32.zip?generation=1679618654487319&alt=media
